timestamp,machine_id,temperature,vibration,pressure,target
2026-03-12 08:00,M_001,70.2,15.1,100.5,0
2026-03-12 08:30,M_001,71.5,14.8,101.2,0
2026-03-12 09:00,M_001,72.1,15.5,99.8,0
2026-03-12 09:30,M_001,78.5,18.2,105.4,1
2026-03-12 10:00,M_001,77.9,19.5,103.1,1
2026-03-12 10:30,M_001,70.1,14.9,100.2,0
2026-03-12 11:00,M_001,69.5,15.2,98.5,0
2026-03-12 11:30,M_001,71.2,15.0,100.0,0
2026-03-12 12:00,M_001,82.4,22.1,110.5,1
2026-03-12 12:30,M_001,80.1,21.5,108.3,1
2026-03-12 13:00,M_001,70.5,15.3,101.1,0
2026-03-12 13:30,M_001,72.4,14.7,99.4,0
2026-03-12 14:00,M_001,71.0,15.1,100.2,0
2026-03-12 14:30,M_001,73.2,15.8,102.5,0
2026-03-12 15:00,M_001,79.1,18.5,106.0,1
2026-03-12 15:30,M_001,78.8,19.2,104.5,1
2026-03-12 16:00,M_001,71.2,14.5,99.8,0
2026-03-12 16:30,M_001,70.8,15.0,100.5,0
2026-03-12 17:00,M_001,72.5,15.4,101.8,0
2026-03-12 17:30,M_001,81.5,20.8,109.2,1
2026-03-12 18:00,M_001,83.0,21.2,111.0,1
2026-03-12 18:30,M_001,70.4,15.2,100.1,0
2026-03-12 19:00,M_001,69.9,14.8,98.7,0
2026-03-12 19:30,M_001,71.8,15.6,102.3,0
2026-03-12 20:00,M_001,77.5,17.9,104.8,1
2026-03-12 20:30,M_001,79.5,18.8,105.9,1
2026-03-12 21:00,M_001,70.6,15.3,101.0,0
2026-03-12 21:30,M_001,72.0,15.0,100.4,0
2026-03-12 22:00,M_001,71.5,14.9,99.9,0
2026-03-12 22:30,M_001,80.8,19.9,108.5,1
2026-03-12 23:00,M_001,84.2,22.5,112.4,1
2026-03-12 23:30,M_001,70.1,14.7,100.0,0
2026-03-13 00:00,M_001,69.2,15.1,98.2,0
2026-03-13 00:30,M_001,71.0,15.5,101.5,0
2026-03-13 01:00,M_001,76.5,18.0,103.9,1
2026-03-13 01:30,M_001,77.2,18.4,104.2,1
2026-03-13 02:00,M_001,70.5,14.6,99.5,0
2026-03-13 02:30,M_001,70.9,15.0,100.8,0
2026-03-13 03:00,M_001,72.8,15.2,102.1,0
2026-03-13 03:30,M_001,80.4,20.5,108.9,1
2026-03-13 04:00,M_001,81.9,21.0,110.2,1
2026-03-13 04:30,M_001,70.3,15.4,100.4,0
2026-03-13 05:00,M_001,69.7,14.9,99.0,0
2026-03-13 05:30,M_001,71.4,15.3,101.2,0
2026-03-13 06:00,M_001,77.1,17.8,105.1,1
2026-03-13 06:30,M_001,78.5,19.1,106.5,1
2026-03-13 07:00,M_001,70.2,15.0,100.2,0
2026-03-13 07:30,M_001,71.1,15.2,100.9,0
