timestamp,temperature,humidity,precipitation,cloud_cover,condition
2026-05-27T00:00,29.7,62,0.0,24,Clear
2026-05-27T01:00,29.2,64,0.0,27,Clear
2026-05-27T02:00,28.3,70,0.0,9,Clear
2026-05-27T03:00,27.3,76,0.0,2,Clear
2026-05-27T04:00,26.4,78,0.0,13,Clear
2026-05-27T05:00,25.8,84,0.0,5,Clear
2026-05-27T06:00,25.9,82,0.0,5,Clear
2026-05-27T07:00,27.2,74,0.0,2,Clear
2026-05-27T08:00,29.4,61,0.0,3,Clear
2026-05-27T09:00,31.9,50,0.0,30,Clear
2026-05-27T10:00,34.1,42,0.0,48,Clear
2026-05-27T11:00,36.2,35,0.0,76,Cloudy
2026-05-27T12:00,36.8,31,0.0,27,Clear
2026-05-27T13:00,37.7,27,0.0,36,Clear
2026-05-27T14:00,38.2,25,0.0,28,Clear
2026-05-27T15:00,38.2,24,0.0,32,Clear
2026-05-27T16:00,37.7,24,0.1,27,Clear
2026-05-27T17:00,37.6,25,0.0,16,Clear
2026-05-27T18:00,36.7,25,0.0,35,Clear
2026-05-27T19:00,35.8,25,0.0,98,Cloudy
2026-05-27T20:00,34.4,30,0.0,44,Clear
2026-05-27T21:00,32.7,41,0.0,66,Clear
2026-05-27T22:00,31.2,51,0.0,89,Cloudy
2026-05-27T23:00,30.0,57,0.0,39,Clear
2026-05-28T00:00,29.0,60,0.0,19,Clear
2026-05-28T01:00,27.9,65,0.0,23,Clear
2026-05-28T02:00,26.9,69,0.0,3,Clear
2026-05-28T03:00,25.9,71,0.0,0,Clear
2026-05-28T04:00,25.2,71,0.0,0,Clear
2026-05-28T05:00,24.6,74,0.0,0,Clear
2026-05-28T06:00,24.8,74,0.0,0,Clear
2026-05-28T07:00,26.2,71,0.0,0,Clear
2026-05-28T08:00,28.4,63,0.0,0,Clear
2026-05-28T09:00,31.2,51,0.0,0,Clear
2026-05-28T10:00,34.0,41,0.0,0,Clear
2026-05-28T11:00,36.2,33,0.0,0,Clear
2026-05-28T12:00,38.1,24,0.0,20,Clear
2026-05-28T13:00,38.9,19,0.0,11,Clear
2026-05-28T14:00,39.6,18,0.0,10,Clear
2026-05-28T15:00,39.6,18,0.0,8,Clear
2026-05-28T16:00,39.5,18,0.0,15,Clear
