timestamp,shipment_id,latitude,longitude,temperature,humidity,vibration
2026-03-12 20:23:51,SHIP_LIVE_001,40.717962450771864,-74.01328408407966,1.93,82.83,0.38
2026-03-12 20:24:01,SHIP_LIVE_001,40.7236921208521,-74.02149807190102,1.86,75.38,0.344
2026-03-12 20:24:11,SHIP_LIVE_001,40.72784768451803,-74.02948179612994,1.73,75.5,0.15
2026-03-12 20:24:21,SHIP_LIVE_001,40.73300387036486,-74.03762687183924,2.13,73.75,0.145
2026-03-12 20:24:31,SHIP_LIVE_001,40.738221844606194,-74.04555721966346,1.56,75.53,0.137
2026-03-12 20:24:41,SHIP_LIVE_001,40.74348467800889,-74.05344673207667,2.37,83.38,0.308
2026-03-12 20:24:51,SHIP_LIVE_001,40.74848399717663,-74.0616458864153,1.67,76.63,0.206
2026-03-12 20:25:01,SHIP_LIVE_001,40.75255336094357,-74.0697468834805,2.06,74.15,0.364
2026-03-12 20:25:11,SHIP_LIVE_001,40.75725277936909,-74.07807991932982,2.06,80.09,0.271
2026-03-12 20:25:21,SHIP_LIVE_001,40.76259089308836,-74.08688939214552,2.46,70.84,0.105
2026-03-12 20:25:31,SHIP_LIVE_001,40.76842803450468,-74.0957636267331,1.98,83.07,0.365
2026-03-12 20:25:41,SHIP_LIVE_001,40.77440300741968,-74.10418113037723,1.52,76.7,0.243
